"Fishing Day","Fish","Fishing Gear","Site","Species","Weight (kg)","Length (cm)","Scale taken (0=N, 1=Y)","Floy Tag . (0=N)","Recap Tag . (0=N)","Preserved for testing (0=N, 1=Y)","Mortality (0=N, 1=Y)","Genetics Testing . (0=N)","Notes"
2.00,92.00,2.00,"4",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,93.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,94.00,2.00,"4",5.00,0.08,17.00,"",212.00,0.00,1.00,0.00,0.00,""
2.00,95.00,2.00,"4",4.00,0.12,18.00,"",213.00,0.00,1.00,0.00,0.00,""
2.00,96.00,2.00,"4",4.00,0.19,20.00,"",202.00,0.00,0.00,0.00,0.00,""
2.00,97.00,2.00,"4",4.00,0.10,16.50,"",205.00,0.00,0.00,0.00,0.00,""
2.00,98.00,2.00,"4",5.00,0.04,14.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,99.00,2.00,"4",5.00,0.08,13.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,100.00,2.00,"4",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,101.00,2.00,"4",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,102.00,2.00,"4",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,103.00,2.00,"4",4.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,104.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,105.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,106.00,2.00,"4",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,107.00,2.00,"4",4.00,0.01,4.40,"",0.00,0.00,0.00,0.00,0.00,""
2.00,108.00,2.00,"4",5.00,0.01,3.70,"",0.00,0.00,0.00,0.00,0.00,""
2.00,109.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,110.00,2.00,"4",5.00,0.01,3.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,111.00,2.00,"4",4.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
2.00,112.00,2.00,"4",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,113.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,114.00,2.00,"4",5.00,0.01,4.20,"",0.00,0.00,0.00,0.00,0.00,""
2.00,115.00,2.00,"4",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,116.00,2.00,"4",5.00,0.01,3.70,"",0.00,0.00,0.00,0.00,0.00,""
2.00,117.00,2.00,"4",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,118.00,2.00,"4",4.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
2.00,119.00,2.00,"4",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,120.00,2.00,"4",5.00,0.01,4.60,"",0.00,0.00,1.00,0.00,0.00,""
2.00,121.00,3.00,"1",6.00,0.71,38.50,"",210.00,0.00,1.00,0.00,0.00,""
2.00,122.00,3.00,"1",6.00,0.41,35.00,"",209.00,0.00,1.00,0.00,0.00,""
2.00,123.00,3.00,"1",1.00,4.30,73.00,"",208.00,0.00,1.00,0.00,0.00,""
2.00,124.00,2.00,"4",3.00,0.46,32.00,"",215.00,0.00,1.00,0.00,0.00,""
2.00,125.00,2.00,"4",4.00,0.09,16.00,"",214.00,0.00,0.00,0.00,0.00,""
2.00,126.00,2.00,"4",7.00,0.01,8.70,"",0.00,0.00,0.00,0.00,0.00,""
2.00,127.00,2.00,"4",7.00,0.01,8.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,128.00,2.00,"4",5.00,0.01,3.60,"",0.00,0.00,0.00,0.00,0.00,"missing tail"
2.00,129.00,2.00,"4",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,130.00,2.00,"4",5.00,0.01,4.90,"",0.00,0.00,0.00,0.00,0.00,""
2.00,131.00,2.00,"4",5.00,0.01,4.30,"",0.00,0.00,0.00,0.00,0.00,""
2.00,132.00,2.00,"4",5.00,0.01,4.30,"",0.00,0.00,0.00,0.00,0.00,""
2.00,133.00,2.00,"4",5.00,0.01,6.10,"",0.00,0.00,0.00,0.00,0.00,""
2.00,134.00,2.00,"4",5.00,0.01,10.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,135.00,2.00,"4",4.00,0.01,4.20,"",0.00,0.00,0.00,0.00,0.00,""
2.00,136.00,2.00,"4",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,137.00,2.00,"4",5.00,0.01,6.40,"",0.00,0.00,0.00,0.00,0.00,""
2.00,138.00,2.00,"4",4.00,0.01,4.10,"",0.00,0.00,0.00,0.00,0.00,""
2.00,139.00,2.00,"4",5.00,0.01,4.20,"",0.00,0.00,0.00,0.00,0.00,""
2.00,140.00,2.00,"4",4.00,0.01,4.60,"",0.00,0.00,0.00,0.00,0.00,""
2.00,141.00,2.00,"4",4.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,142.00,3.00,"1",6.00,0.68,38.00,"",206.00,0.00,0.00,0.00,0.00,""
2.00,143.00,3.00,"1",6.00,0.66,37.00,"",207.00,0.00,0.00,0.00,0.00,""
2.00,144.00,3.00,"1",6.00,0.40,36.00,"",216.00,0.00,0.00,0.00,0.00,""
2.00,145.00,3.00,"1",6.00,0.55,37.50,"",218.00,0.00,0.00,0.00,0.00,""
2.00,146.00,3.00,"1",6.00,0.60,40.00,"",219.00,0.00,0.00,0.00,0.00,""
2.00,147.00,3.00,"1",6.00,1.10,49.00,"",220.00,0.00,0.00,0.00,0.00,""
2.00,148.00,3.00,"1",6.00,0.66,39.00,"",221.00,0.00,0.00,0.00,0.00,""
2.00,149.00,3.00,"1",3.00,0.55,34.50,"",100.00,0.00,1.00,0.00,0.00,""
2.00,150.00,3.00,"1",2.00,0.49,33.50,"",27.00,0.00,1.00,0.00,0.00,""
2.00,151.00,3.00,"1",6.00,0.85,45.00,"",222.00,0.00,0.00,0.00,0.00,""
2.00,152.00,3.00,"1",6.00,0.74,41.00,"",224.00,0.00,0.00,0.00,0.00,""
2.00,153.00,3.00,"1",6.00,0.53,37.00,"",26.00,0.00,0.00,0.00,0.00,""
2.00,154.00,3.00,"1",6.00,0.43,37.50,"",9.00,0.00,1.00,0.00,0.00,""
2.00,155.00,3.00,"1",6.00,0.53,38.00,"",10.00,0.00,1.00,0.00,0.00,""
2.00,156.00,3.00,"1",6.00,0.54,38.50,"",25.00,0.00,0.00,0.00,0.00,""
2.00,157.00,3.00,"1",6.00,0.37,33.00,"",24.00,0.00,1.00,0.00,0.00,""
2.00,158.00,3.00,"1",6.00,0.73,41.00,"",23.00,0.00,0.00,0.00,0.00,""
2.00,159.00,3.00,"1",1.00,3.75,64.00,"",22.00,0.00,0.00,0.00,0.00,""
